layer,site_code,category,n,description
AS18_72,CH_011_SO,14,5,Terrains attenants aux bâtiments non déterminés
AS18_72,CH_011_SO,17,70,"Routes, chemins"
AS18_72,CH_011_SO,18,5,Bordures de routes
AS18_72,CH_011_SO,19,3,Aires de parc de stationnement
AS18_72,CH_011_SO,26,2,Autres installations d'approvisionnement et d'élimination
AS18_72,CH_011_SO,29,2,Chantiers
AS18_72,CH_011_SO,31,2,Parcs publics
AS18_72,CH_011_SO,32,2,Installations de sport
AS18_72,CH_011_SO,35,1,Jardins ouvriers
AS18_72,CH_011_SO,36,1,Cimetières
AS18_72,CH_011_SO,37,2,Plantations fruitières
AS18_72,CH_011_SO,38,45,Arbres fruitiers de plein champ
AS18_72,CH_011_SO,40,3,Horticulture
AS18_72,CH_011_SO,41,52,Terres arables
AS18_72,CH_011_SO,42,730,Prairies naturelles
AS18_72,CH_011_SO,43,397,Pâturages locaux
AS18_72,CH_011_SO,44,5,Prés et pâturages locaux embroussaillés
AS18_72,CH_011_SO,46,407,Alpages favorables
AS18_72,CH_011_SO,47,4,Alpages embroussaillés
AS18_72,CH_011_SO,50,1988,Forêt normale
AS18_72,CH_011_SO,51,51,Bande de forêt
AS18_72,CH_011_SO,53,65,Coupes de bois
AS18_72,CH_011_SO,54,1,Surfaces forestières dévastées
AS18_72,CH_011_SO,55,12,Forêt clairsemée (sur surfaces agricoles)
AS18_72,CH_011_SO,56,4,Forêt clairsemée (sur surfaces improductives)
AS18_72,CH_011_SO,58,65,"Bosquets, haies"
AS18_72,CH_011_SO,59,73,Groupes d'arbres (sur surfaces agricoles)
AS18_72,CH_011_SO,60,1,Groupes d’arbres (sur surfaces improductives)
AS18_72,CH_011_SO,61,1,Lacs
AS18_72,CH_011_SO,62,4,Cours d’eau
AS18_72,CH_011_SO,67,3,Zones humides
AS18_72,CH_011_SO,69,2,Rochers
AS18_72,CH_012_OW,1,21,Bâtiments industriels et artisanaux
AS18_72,CH_012_OW,2,33,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,CH_012_OW,3,39,Maisons individuelles et maisons de deux logements
AS18_72,CH_012_OW,4,152,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,CH_012_OW,5,2,Maisons alignées et en terrasses
AS18_72,CH_012_OW,6,7,Terrains attenants aux maisons alignées et en terrasses
AS18_72,CH_012_OW,7,20,Immeubles résidentiels
AS18_72,CH_012_OW,8,55,Terrains attenants aux immeubles résidentiels
AS18_72,CH_012_OW,9,8,Bâtiments publics
AS18_72,CH_012_OW,10,22,Terrains attenants aux bâtiments publics
AS18_72,CH_012_OW,11,56,Bâtiments agricoles
AS18_72,CH_012_OW,12,77,Terrains attenants aux bâtiments agricoles
AS18_72,CH_012_OW,13,8,Bâtiments non déterminés
AS18_72,CH_012_OW,14,19,Terrains attenants aux bâtiments non déterminés
AS18_72,CH_012_OW,15,5,Autoroutes
AS18_72,CH_012_OW,16,5,Bordures d'autoroutes
AS18_72,CH_012_OW,17,165,"Routes, chemins"
AS18_72,CH_012_OW,18,23,Bordures de routes
AS18_72,CH_012_OW,19,17,Aires de parc de stationnement
AS18_72,CH_012_OW,20,8,Aires ferroviaires stabilisées
AS18_72,CH_012_OW,21,1,Bordures de voies ferrées
AS18_72,CH_012_OW,24,2,Installations d'approvisionnement en énergie
AS18_72,CH_012_OW,25,1,Stations d'épuration des eaux usées
AS18_72,CH_012_OW,26,2,Autres installations d'approvisionnement et d'élimination
AS18_72,CH_012_OW,27,5,Décharges
AS18_72,CH_012_OW,28,4,Extraction de matériaux
AS18_72,CH_012_OW,29,5,Chantiers
AS18_72,CH_012_OW,30,3,Friches et bâtiments désaffectés
AS18_72,CH_012_OW,31,11,Parcs publics
AS18_72,CH_012_OW,32,19,Installations de sport
AS18_72,CH_012_OW,33,8,Terrains de golf
AS18_72,CH_012_OW,34,8,Terrains de camping
AS18_72,CH_012_OW,35,1,Jardins ouvriers
AS18_72,CH_012_OW,36,2,Cimetières
AS18_72,CH_012_OW,37,1,Plantations fruitières
AS18_72,CH_012_OW,38,71,Arbres fruitiers de plein champ
AS18_72,CH_012_OW,40,3,Horticulture
AS18_72,CH_012_OW,41,14,Terres arables
AS18_72,CH_012_OW,42,2722,Prairies naturelles
AS18_72,CH_012_OW,43,370,Pâturages locaux
AS18_72,CH_012_OW,45,167,Alpages fauchés
AS18_72,CH_012_OW,46,1230,Alpages favorables
AS18_72,CH_012_OW,47,79,Alpages embroussaillés
AS18_72,CH_012_OW,48,25,Alpages rocailleux
AS18_72,CH_012_OW,49,202,"Alpes à moutons, foins de rocher"
AS18_72,CH_012_OW,50,3403,Forêt normale
AS18_72,CH_012_OW,51,206,Bande de forêt
AS18_72,CH_012_OW,52,3,Aires afforestées
AS18_72,CH_012_OW,53,179,Coupes de bois
AS18_72,CH_012_OW,54,70,Surfaces forestières dévastées
AS18_72,CH_012_OW,55,62,Forêt clairsemée (sur surfaces agricoles)
AS18_72,CH_012_OW,56,312,Forêt clairsemée (sur surfaces improductives)
AS18_72,CH_012_OW,57,102,Forêt buissonnante
AS18_72,CH_012_OW,58,123,"Bosquets, haies"
AS18_72,CH_012_OW,59,148,Groupes d'arbres (sur surfaces agricoles)
AS18_72,CH_012_OW,60,88,Groupes d’arbres (sur surfaces improductives)
AS18_72,CH_012_OW,61,737,Lacs
AS18_72,CH_012_OW,62,91,Cours d’eau
AS18_72,CH_012_OW,63,16,Ouvrages de protection contre les crues
AS18_72,CH_012_OW,64,98,"Arbustes, broussailles"
AS18_72,CH_012_OW,65,235,Végétation herbacée improductive
AS18_72,CH_012_OW,67,49,Zones humides
AS18_72,CH_012_OW,69,28,Rochers
AS18_72,CH_012_OW,70,74,"Eboulis, sable"
AS18_72,CH_012_OW,71,1,Interventions dans le paysage
AS18_72,CH_014_LU,1,45,Bâtiments industriels et artisanaux
AS18_72,CH_014_LU,2,74,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,CH_014_LU,3,84,Maisons individuelles et maisons de deux logements
AS18_72,CH_014_LU,4,415,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,CH_014_LU,5,22,Maisons alignées et en terrasses
AS18_72,CH_014_LU,6,62,Terrains attenants aux maisons alignées et en terrasses
AS18_72,CH_014_LU,7,157,Immeubles résidentiels
AS18_72,CH_014_LU,8,467,Terrains attenants aux immeubles résidentiels
AS18_72,CH_014_LU,9,45,Bâtiments publics
AS18_72,CH_014_LU,10,84,Terrains attenants aux bâtiments publics
AS18_72,CH_014_LU,11,15,Bâtiments agricoles
AS18_72,CH_014_LU,12,55,Terrains attenants aux bâtiments agricoles
AS18_72,CH_014_LU,13,68,Bâtiments non déterminés
AS18_72,CH_014_LU,14,65,Terrains attenants aux bâtiments non déterminés
AS18_72,CH_014_LU,15,26,Autoroutes
AS18_72,CH_014_LU,16,6,Bordures d'autoroutes
AS18_72,CH_014_LU,17,413,"Routes, chemins"
AS18_72,CH_014_LU,18,23,Bordures de routes
AS18_72,CH_014_LU,19,65,Aires de parc de stationnement
AS18_72,CH_014_LU,20,43,Aires ferroviaires stabilisées
AS18_72,CH_014_LU,21,13,Bordures de voies ferrées
AS18_72,CH_014_LU,24,3,Installations d'approvisionnement en énergie
